,principal component 1,principal component 2,rating_five_count
618,-0.6729398625073966,-0.9557148076849926,0
619,-0.5506929022869979,-0.7055097730217369,39
620,-0.6608566484642137,-0.3879231798095137,1
621,-0.49372731055400587,0.5691652564787274,125
622,0.0896189628896601,-0.41641023088980644,523
623,-0.5260279615765764,1.4231888649196063,0
624,-0.6505534679920637,-0.585217895846997,18
625,-0.3094868965057452,0.3931422173158107,378
626,-0.5493796786372761,-0.9611529177618517,67
627,-0.5036503386194056,1.0805340714891403,59
628,1.2087820221117411,2.174407779900217,1375
629,0.7338986183346501,-0.6412825174313124,892
630,2.7486583593838225,-0.8788234159793442,2620
631,0.3245688635534536,-0.4190675529616826,845
632,-0.6190549216596809,-0.3757181938714052,5
633,-0.6516349956679037,0.20350707788693223,5
634,-0.6242778925202359,-0.3055749848525459,0
635,-0.6642544392067106,-1.2573769269966522,4
636,-0.6520127841452552,-0.5852013907409606,16
637,0.5140843927485528,-1.2070920028125747,597
638,-0.6443384149019474,0.20342455235674964,15
639,-0.6699868344449857,-1.5244111568528056,1
640,-0.6319984656520026,1.4219325981357134,3
641,-0.6183059195341134,0.017924170505896658,35
642,0.11754011316256023,-0.5441874021679808,557
643,-0.6428678890175662,1.166059911680924,5
644,-0.6158815788130807,0.4131627284977393,3
645,-0.6303810807016936,-0.8164243351524062,0
646,0.15428341977604806,-0.7882590316529585,615
647,-0.2720611782337061,1.8102939998987853,284
648,-0.6124697904076765,-0.10889768052159465,4
649,-0.521626752848535,0.6159586750322581,82
650,-0.03947239156410826,0.0378562909237298,317
651,1.2376310249832154,0.12486301390470514,500
652,-0.653017554152474,-0.95630746173247,18
653,-0.516835015590091,2.7913599534439317,11
654,3.544381659913057,0.16778455618563326,3689
655,-0.6563620257950047,-1.3618927062507307,3
656,-0.6550193838514486,-0.38798920023365974,9
657,0.30586793871936446,-0.6132024843166906,303
658,-0.5186236525580682,0.7666250235765756,88
659,0.0233990881324879,0.7216355027745001,385
660,-0.6498238099154684,-0.5852261484000154,19
661,-0.6579380161578313,-0.38795619002158677,5
662,-0.5572187729490158,-0.39276863583889565,50
663,-0.23387018920053584,2.48308565185928,302
664,-0.09385301202731822,-0.18124024128092184,213
665,1.646156215379013,0.09629805606144097,1097
666,-0.5351430216066628,0.048521460806966794,35
667,-0.6567769979601016,0.7722281847138002,1
668,-0.4512056122807559,1.8765601592083039,4
669,-0.6465273891317344,0.2034493100158044,12
670,-0.6303827459141104,-0.5491334245218868,0
671,-0.624488054914669,0.11094983400771746,17
672,-0.5577960990545962,1.5971492119575579,0
673,-0.44812193105891523,0.39471020238927784,188
674,-0.1451157130985594,2.345470350415083,299
675,-0.6261492247455895,-1.0721004901045943,32
676,-0.6691931097747117,-0.9559204416127438,1
677,-0.5148838953595521,0.2215260414646386,97
678,0.630928862134855,-0.4429397271605113,748
679,-0.6190549216596809,-0.3757181938714052,5
680,-0.6113429998047576,1.0734531524836,23
681,-0.5834976734376486,-1.3551234083604498,26
682,1.1861106910243198,-0.25204073971217084,1506
